item_id|radionuclide|prompt|correct_option|explanation|difficulty|distractor_group
USE_0001|Tc-99m MDP|Which common use is correct?|Bone scintigraphy for osseous metastases, fracture, infection, or osteoblastic activity|Tc-99m MDP is a diphosphonate bone agent that localizes in areas of osteoblastic activity and is used for bone scintigraphy.|1|bone_scan
USE_0002|Tc-99m HDP|Which common use is correct?|Bone scintigraphy for osteoblastic skeletal activity|Tc-99m HDP is another technetium-labeled diphosphonate bone agent used for skeletal scintigraphy.|2|bone_scan
USE_0003|Tc-99m sestamibi|Which common use is correct?|Myocardial perfusion imaging and parathyroid adenoma localization|Tc-99m sestamibi is commonly used for myocardial perfusion imaging and parathyroid adenoma localization due to mitochondrial-rich tissue uptake.|1|sestamibi_mpi_parathyroid
USE_0004|Tc-99m tetrofosmin|Which common use is correct?|Myocardial perfusion imaging|Tc-99m tetrofosmin is a myocardial perfusion agent used for SPECT evaluation of coronary artery disease.|2|myocardial_perfusion
USE_0005|Tc-99m MAG3|Which common use is correct?|Dynamic renal scintigraphy emphasizing effective renal plasma flow and tubular secretion|Tc-99m MAG3 is a renal tubular agent commonly used for renal perfusion, function, obstruction, and transplant evaluation.|1|renal_tubular
USE_0006|Tc-99m DTPA|Which common use is correct?|Renal glomerular filtration imaging or aerosol ventilation imaging|Tc-99m DTPA can be used for renal scintigraphy as a glomerular filtration agent and can also be aerosolized for ventilation imaging.|2|renal_gfr_or_aerosol_ventilation
USE_0007|Tc-99m DMSA|Which common use is correct?|Renal cortical imaging for scarring, pyelonephritis, or cortical anatomy|Tc-99m DMSA binds renal cortex and is used for static renal cortical imaging, especially in pediatric applications.|2|renal_cortical
USE_0008|Tc-99m MAA|Which common use is correct?|Pulmonary perfusion imaging for V/Q scanning|Tc-99m MAA consists of macroaggregated albumin particles that lodge in pulmonary capillaries and are used for lung perfusion imaging.|1|pulmonary_perfusion
USE_0009|Tc-99m MAA hepatic shunt study|Which common use is correct?|Lung shunt fraction assessment before Y-90 radioembolization|Tc-99m MAA can be injected into the hepatic arterial system before Y-90 therapy planning to estimate lung shunt fraction and extrahepatic deposition risk.|3|lung_shunt_fraction
USE_0010|Tc-99m sulfur colloid|Which common use is correct?|Liver, spleen, and bone marrow RES imaging|Tc-99m sulfur colloid is taken up by the reticuloendothelial system and can be used for liver, spleen, and marrow imaging.|2|res_liver_spleen_marrow
USE_0011|Tc-99m sulfur colloid gastric emptying|Which common use is correct?|Gastric emptying scintigraphy when mixed with a standardized meal|Tc-99m sulfur colloid can label a meal for gastric emptying studies.|2|gastric_emptying
USE_0012|Tc-99m filtered sulfur colloid|Which common use is correct?|Lymphoscintigraphy and sentinel lymph node mapping|Filtered Tc-99m sulfur colloid can be used for lymphatic mapping and sentinel node localization.|2|lymphoscintigraphy
USE_0013|Tc-99m HIDA agent|Which common use is correct?|Hepatobiliary scintigraphy for acute cholecystitis, biliary leak, or gallbladder function|Tc-99m IDA agents are excreted into bile and are used for hepatobiliary imaging.|1|hepatobiliary
USE_0014|Tc-99m pertechnetate|Which common use is correct?|Thyroid imaging, Meckel diverticulum imaging, and salivary gland imaging|Tc-99m pertechnetate is trapped by thyroid, salivary, and gastric mucosa but is not organified by the thyroid.|1|pertechnetate_thyroid_meckel_salivary
USE_0015|Tc-99m labeled RBCs|Which common use is correct?|Gastrointestinal bleeding scintigraphy and equilibrium radionuclide ventriculography|Tc-99m labeled red blood cells are used for blood pool imaging, including GI bleeding scans and MUGA studies.|2|blood_pool_rbc
USE_0016|Tc-99m pyrophosphate|Which common use is correct?|Cardiac amyloidosis imaging and selected bone or infarct-related applications|Tc-99m pyrophosphate is commonly used for transthyretin cardiac amyloidosis imaging in current practice.|2|cardiac_amyloid
USE_0017|Tc-99m exametazime WBC|Which common use is correct?|Labeled white blood cell infection imaging|Tc-99m exametazime can label leukocytes for infection and inflammation imaging.|3|labeled_wbc_infection
USE_0018|F-18 FDG|Which common use is correct?|PET imaging of glucose metabolism for oncology, infection, inflammation, brain metabolism, and myocardial viability|F-18 FDG is a glucose analog used broadly for oncologic PET and selected infection, inflammation, neurologic, and cardiac applications.|1|fdg_metabolism
USE_0019|F-18 NaF|Which common use is correct?|PET bone imaging for skeletal turnover and osseous metastases|F-18 sodium fluoride is a PET bone imaging agent that reflects regional blood flow and osteoblastic activity.|3|bone_pet
USE_0020|F-18 fluciclovine|Which common use is correct?|PET imaging of suspected recurrent prostate cancer|F-18 fluciclovine is an amino acid analog used in PET imaging of suspected recurrent prostate cancer.|3|prostate_recurrence_pet
USE_0021|F-18 DOPA|Which common use is correct?|PET imaging of neuroendocrine tumors and dopaminergic pathways in selected settings|F-18 DOPA is used in selected neuroendocrine tumor imaging and neurologic applications related to dopamine metabolism.|4|dopa_pet
USE_0022|F-18 florbetapir or related amyloid agent|Which common use is correct?|Amyloid PET imaging in cognitive impairment evaluation|F-18 amyloid agents can image beta-amyloid neuritic plaques in selected dementia evaluations.|4|amyloid_pet
USE_0023|Ga-68 DOTATATE|Which common use is correct?|Somatostatin receptor PET imaging of neuroendocrine tumors|Ga-68 DOTATATE targets somatostatin receptors and is used for PET imaging of well-differentiated neuroendocrine tumors.|1|somatostatin_receptor_pet
USE_0024|Ga-68 PSMA agent|Which common use is correct?|PSMA PET imaging of prostate cancer|Ga-68 PSMA-targeted agents image prostate-specific membrane antigen expression in prostate cancer.|2|psma_pet
USE_0025|I-123 sodium iodide|Which common use is correct?|Diagnostic thyroid uptake and thyroid scintigraphy|I-123 sodium iodide is used for diagnostic thyroid uptake and imaging with lower radiation dose than I-131.|1|thyroid_diagnostic
USE_0026|I-123 MIBG|Which common use is correct?|Adrenal medullary and neuroendocrine tumor imaging such as pheochromocytoma, paraganglioma, and neuroblastoma|I-123 MIBG is a norepinephrine analog used for imaging tumors of sympathetic neural crest origin.|2|mibg_imaging
USE_0027|I-123 ioflupane|Which common use is correct?|Dopamine transporter imaging for parkinsonian syndromes versus essential tremor|I-123 ioflupane is used for SPECT dopamine transporter imaging.|3|dat_scan
USE_0028|I-123 BMIPP|Which common use is correct?|Myocardial fatty acid metabolism imaging in selected settings|I-123 BMIPP is used in some settings for myocardial fatty acid metabolism imaging, though it is less common in routine US practice.|4|fatty_acid_metabolism
USE_0029|I-131 sodium iodide therapy|Which common use is correct?|Treatment of hyperthyroidism and differentiated thyroid cancer|I-131 sodium iodide is used therapeutically for hyperthyroidism and differentiated thyroid cancer because thyroid tissue concentrates iodine.|1|thyroid_therapy
