item_id|radionuclide|prompt|correct_option|explanation|difficulty|distractor_group
GEN_0001|Tc-99m|Which production or supply method is correct?|Mo-99/Tc-99m generator|Tc-99m is commonly obtained from a Mo-99/Tc-99m generator, making it highly practical for routine diagnostic nuclear medicine.|1|mo99_tc99m_generator
GEN_0002|F-18|Which production or supply method is correct?|Cyclotron-produced|F-18 is cyclotron-produced, which allows regional distribution because its physical half-life is approximately 110 minutes.|1|cyclotron
GEN_0003|Ga-68|Which production or supply method is correct?|Ge-68/Ga-68 generator|Ga-68 can be obtained from a Ge-68/Ga-68 generator, though cyclotron production is also possible in some settings.|1|ge68_ga68_generator
GEN_0004|I-123|Which production or supply method is correct?|Cyclotron-produced|I-123 is cyclotron-produced and used diagnostically for thyroid imaging and MIBG imaging.|2|cyclotron
GEN_0005|I-131|Which production or supply method is correct?|Reactor-produced|I-131 is generally reactor-produced and is used for thyroid therapy and selected diagnostic applications.|2|reactor
GEN_0006|Lu-177|Which production or supply method is correct?|Reactor-produced|Lu-177 is generally produced in a nuclear reactor and is used for targeted radionuclide therapies such as Lu-177 DOTATATE and Lu-177 PSMA agents.|2|reactor
GEN_0007|Y-90|Which production or supply method is correct?|Sr-90/Y-90 generator or reactor-produced parent source|Y-90 can be obtained from Sr-90/Y-90 generator systems and is used for therapeutic applications such as radioembolization.|3|sr90_y90_generator
GEN_0008|Ra-223|Which production or supply method is correct?|Generator-derived from an Ac-227 decay chain|Ra-223 is obtained from a generator system based on the Ac-227 decay chain and is used as an alpha-emitting therapeutic radionuclide.|4|ac227_ra223_generator
GEN_0009|Rb-82|Which production or supply method is correct?|Sr-82/Rb-82 generator|Rb-82 is obtained from a Sr-82/Rb-82 generator and is used for PET myocardial perfusion imaging.|1|sr82_rb82_generator
GEN_0010|C-11|Which production or supply method is correct?|On-site cyclotron-produced|C-11 is cyclotron-produced and usually requires an on-site or very nearby cyclotron because its physical half-life is approximately 20 minutes.|2|onsite_cyclotron
GEN_0011|N-13|Which production or supply method is correct?|On-site cyclotron-produced|N-13 is cyclotron-produced and generally requires an on-site cyclotron because its physical half-life is approximately 10 minutes.|2|onsite_cyclotron
GEN_0012|O-15|Which production or supply method is correct?|On-site cyclotron-produced|O-15 is cyclotron-produced and requires on-site production because its physical half-life is only about 2 minutes.|3|onsite_cyclotron
GEN_0013|In-111|Which production or supply method is correct?|Cyclotron-produced|In-111 is cyclotron-produced and has been used for labeled leukocyte imaging and somatostatin receptor imaging.|3|cyclotron
GEN_0014|Tl-201|Which production or supply method is correct?|Cyclotron-produced|Tl-201 is cyclotron-produced and has historically been used for myocardial perfusion imaging.|3|cyclotron
GEN_0015|Ga-67|Which production or supply method is correct?|Cyclotron-produced|Ga-67 is cyclotron-produced and has been used for infection, inflammation, and tumor imaging.|3|cyclotron
GEN_0016|Xe-133|Which production or supply method is correct?|Reactor-produced fission product|Xe-133 is typically obtained as a reactor-produced fission product and has been used as a gas for pulmonary ventilation imaging.|3|reactor_fission_product
GEN_0018|Mo-99|Which production or supply method is correct?|Reactor-produced parent for Tc-99m generators|Mo-99 is commonly reactor-produced and serves as the parent radionuclide in Mo-99/Tc-99m generators.|1|reactor_parent_generator
GEN_0021|Cu-64|Which production or supply method is correct?|Cyclotron-produced|Cu-64 is cyclotron-produced and is used as a PET radionuclide with theranostic interest.|4|cyclotron
