item_id|radionuclide|prompt|correct_option|explanation|difficulty|distractor_group
EM_0001|Tc-99m|Which major emission is correct?|140 keV gamma photon|Tc-99m emits a gamma photon of approximately 140 keV after isomeric transition. This is ideal for gamma camera imaging.|1|gamma_140
EM_0002|F-18|Which major emission is correct?|Positron emission with 511 keV annihilation photons|F-18 is a positron emitter. The emitted positron annihilates with an electron producing two 511 keV photons detected by PET.|1|positron_511
EM_0003|Ga-68|Which major emission is correct?|Positron emission with 511 keV annihilation photons|Ga-68 is a positron emitter used for PET imaging. The detected photons are the 511 keV annihilation photons produced after positron annihilation.|1|positron_511
EM_0004|I-123|Which major emission is correct?|159 keV gamma photon|I-123 emits a principal gamma photon around 159 keV which is useful for diagnostic gamma camera imaging.|1|gamma_159
EM_0005|I-131|Which major emission is correct?|Beta-minus particles plus 364 keV gamma photons|I-131 emits beta-minus particles and gamma photons. The beta emission is therapeutically useful and the 364 keV gamma photon allows imaging but also increases radiation exposure.|1|beta_minus_gamma_364
EM_0006|Lu-177|Which major emission is correct?|Beta-minus particles plus low-energy gamma photons|Lu-177 is primarily a beta-minus therapeutic radionuclide and also emits low-energy gamma photons such as approximately 113 and 208 keV which allow imaging and dosimetry.|2|beta_minus_low_energy_gamma
EM_0007|Y-90|Which major emission is correct?|High-energy beta-minus particles|Y-90 is primarily a high-energy beta-minus emitter. It is used therapeutically and does not have a strong primary gamma emission for conventional imaging.|1|high_energy_beta_minus
EM_0008|Ra-223|Which major emission is correct?|Alpha particles|Ra-223 is an alpha-emitting therapeutic radionuclide. Its alpha particles have high linear energy transfer and short tissue range.|1|alpha
EM_0009|Rb-82|Which major emission is correct?|Positron emission with 511 keV annihilation photons|Rb-82 is a positron emitter used for PET myocardial perfusion imaging. Its positron emission leads to 511 keV annihilation photons.|1|positron_511
EM_0010|C-11|Which major emission is correct?|Positron emission with 511 keV annihilation photons|C-11 is a positron emitter used for PET imaging. The detected signal comes from paired 511 keV annihilation photons.|2|positron_511
EM_0011|N-13|Which major emission is correct?|Positron emission with 511 keV annihilation photons|N-13 is a positron emitter used for PET imaging such as N-13 ammonia myocardial perfusion imaging.|2|positron_511
EM_0012|O-15|Which major emission is correct?|Positron emission with 511 keV annihilation photons|O-15 is a positron emitter used for specialized PET applications. Its very short half-life requires on-site cyclotron production.|3|positron_511
EM_0013|In-111|Which major emission is correct?|171 and 245 keV gamma photons|In-111 emits gamma photons commonly listed around 171 and 245 keV. These emissions allow gamma camera imaging but with higher energy than Tc-99m.|2|gamma_171_245
EM_0014|Tl-201|Which major emission is correct?|Mercury x-rays around 69 to 83 keV|Tl-201 imaging primarily uses characteristic mercury x-rays around 69 to 83 keV. It also has gamma emissions but the low-energy x-rays are classically tested.|2|mercury_xray_69_83
EM_0015|Ga-67|Which major emission is correct?|Gamma photons around 93, 185, and 300 keV|Ga-67 emits multiple gamma photons including approximately 93, 185, and 300 keV. This multi-energy emission profile is important for gamma camera imaging.|2|gamma_93_185_300
EM_0016|Xe-133|Which major emission is correct?|81 keV gamma photon with beta-minus emission|Xe-133 decays by beta-minus emission and emits an 81 keV gamma photon useful for ventilation imaging.|2|beta_minus_gamma_81
EM_0018|Mo-99|Which major emission is correct?|Beta-minus emission with gamma photons including about 739 keV|Mo-99 decays by beta-minus emission to Tc-99m and Tc-99. It also emits gamma photons including a prominent high-energy photon around 739 keV.|2|beta_minus_gamma_739
EM_0021|Cu-64|Which major emission is correct?|Mixed decay: positron emission, beta-minus emission, and electron capture|Cu-64 has a mixed decay profile including positron emission, beta-minus emission, and electron capture. This makes it interesting for theranostic applications.|3|mixed_beta_plus_beta_minus_ec
